Ranking,Player,2021-22
414,Kevin Pangos,"$1,669,178"
415,Matt Thomas,"$1,669,178"
416,Vernon Carey Jr.,"$1,517,981"
417,Xavier Tillman Sr.,"$1,517,981"
418,Tyrell Terry,"$1,517,981"
419,Tre Jones,"$1,517,981"
420,Robert Woodard II,"$1,517,981"
421,Jahmi'us Ramsey,"$1,517,981"
422,CJ Elleby,"$1,517,981"
423,Elijah Hughes,"$1,517,981"
424,Isaiah Joe,"$1,517,981"
425,Naji Marshall,"$1,517,981"
426,Jordan Nwora,"$1,517,981"
427,Nick Richards,"$1,517,981"
428,Anthony Gill,"$1,517,981"
429,Paul Reed,"$1,517,981"
430,Kenyon Martin Jr.,"$1,517,981"
431,Jae'Sean Tate,"$1,517,981"
432,Lamar Stevens,"$1,517,981"
433,Isaiah Todd,"$1,500,000"
434,Jose Alvarado,"$1,500,000"
435,Saben Lee,"$1,489,065"
436,Omer Yurtseven,"$1,489,065"
437,Armoni Brooks,"$1,625,991"
438,J.R. Smith,"$1,456,666"
439,Danuel House Jr.,"$2,045,094"
440,Bismack Biyombo,"$1,366,392"
442,DeMarre Carroll,"$1,252,127"
443,JT Thor,"$1,250,000"
444,Garrison Mathews,"$1,093,598"
445,Alfonzo McKinnie,"$1,090,007"
446,Jabari Parker,"$1,068,288"
447,Jason Preston,"$1,062,303"
448,Isaiah Livers,"$1,057,260"
449,Guerschon Yabusele,"$1,039,080"
450,Aaron Wiggins,"$1,000,000"
452,Kyle Singler,"$999,200"
453,Marquese Chriss,"$958,529"
454,Jared Butler,"$925,258"
455,Greg Brown III,"$925,258"
456,Miles McBride,"$925,258"
457,Brandon Boston Jr.,"$925,258"
458,Marko Simonovic,"$925,258"
459,Vit Krejci,"$925,258"
460,Charles Bassey,"$925,258"
461,Dalano Banton,"$925,258"
462,Jock Landale,"$925,258"
463,Ayo Dosunmu,"$925,258"
464,Austin Reaves,"$925,258"
465,Luka Garza,"$925,258"
466,Lance Stephenson,"$924,730"
467,Stanley Johnson,"$888,616"
468,Miye Oni,"$850,331"
469,Wayne Selden,"$785,102"
471,Brad Wanamaker,"$705,598"
472,Alize Johnson,"$705,598"
473,DeMarcus Cousins,"$1,290,481"
474,Shaun Livingston,"$666,666"
475,Sam Merrill,"$663,024"
479,Luke Kornet,"$606,702"
482,Ryan Arcidiacono,"$586,136"
483,Keifer Sykes,"$558,345"
484,Caleb Martin,"$527,614"
486,Georgios Kalaitzakis,"$462,629"
488,Gary Clark,"$377,645"
489,Devontae Cacok,"$364,533"
490,Sam Dekker,"$350,000"
491,Sam Hauser,"$313,737"
492,Admiral Schofield,
493,Daishen Nix,"$292,466"
494,Haywood Highsmith,"$290,967"
495,Isaiah Thomas,"$276,039"
496,Trendon Watford,"$260,561"
497,Ish Wainright,"$8,558"
498,Malik Fitts,"$231,062"
499,Joe Wieskamp,"$202,068"
500,Amir Coffey,"$153,488"
